Name, Name 2nd, JaccardVertex, JaccardEdge, GED, KLD
AC-2018-0,AC-2018-1,0.22910035,null,464941.0,0.1775305
AC-2018-1,AC-2018-2,0.23784804,null,399717.0,0.1400454
AC-2018-2,AC-2018-3,0.34014833,null,454286.0,0.17814928
AC-2018-3,AC-2018-4,0.2662626,null,335159.0,0.42515746
AC-2018-4,AC-2018-5,0.22194016,null,307044.0,1.5074304
AC-2018-5,AC-2018-6,0.18432099,null,329175.0,1.1182827
AC-2018-6,AC-2018-7,0.21831071,null,372910.0,0.36812666
AC-2018-7,AC-2018-8,0.21634483,null,251189.0,0.12599397
AC-2018-8,AC-2018-9,0.15577221,null,233001.0,0.24541214
AC-2018-9,AC-2018-10,0.16674507,null,232426.0,0.29401046
AC-2018-10,AC-2018-11,0.20028204,null,263685.0,0.38073877
AC-2018-11,AC-2018-12,0.10928607,null,119991.0,0.17836326
AC-2018-12,AC-2018-13,0.16137975,null,225511.0,0.7477647
AC-2018-13,AC-2018-14,0.19231594,null,261731.0,0.41956955
AC-2018-14,AC-2018-15,0.22863585,null,228225.0,0.42716897
AC-2018-15,AC-2018-16,0.22571242,null,295930.0,1.1265005
AC-2018-16,AC-2018-17,0.2482531,null,393610.0,0.7810686
AC-2018-17,AC-2018-18,0.16847593,null,238199.0,0.048132088
AC-2018-18,AC-2018-19,0.20165211,null,273551.0,0.04030916
AC-2018-19,AC-2018-20,0.2155652,null,339272.0,0.23363957
AC-2018-20,AC-2018-21,0.25653976,null,285603.0,0.15964189
AC-2018-21,AC-2018-22,0.18006855,null,211904.0,0.042876877
AC-2018-22,AC-2018-23,0.17261022,null,319120.0,0.045321357
AC-2018-23,AC-2018-24,0.269453,null,402742.0,0.119217224
AC-2018-24,AC-2018-25,0.30149835,null,462590.0,0.091255456
AC-2018-25,AC-2018-26,0.33210516,null,593047.0,0.8667729
AC-2018-26,AC-2018-27,0.22795105,null,396077.0,0.86185914
AC-2018-27,AC-2018-28,0.28857583,null,449518.0,0.34796175
AC-2018-28,AC-2018-29,0.34420568,null,473050.0,0.5104073
AC-2018-29,AC-2018-30,0.26768965,null,442958.0,0.3674982
AC-2018-30,AC-2018-31,0.2475161,null,267328.0,0.24215747
AC-2018-31,AC-2018-32,0.21547633,null,259728.0,0.08345263
AC-2018-32,AC-2018-33,0.14502895,null,171093.0,0.06554567
AC-2018-33,AC-2018-34,0.29539984,null,371727.0,0.686494
AC-2018-34,AC-2018-35,0.16546774,null,226519.0,0.07394156
AC-2018-35,AC-2018-36,0.20206565,null,323012.0,0.38950452
AC-2018-36,AC-2018-37,0.22797447,null,428786.0,0.46186098
AC-2018-37,AC-2018-38,0.21415734,null,302675.0,0.12293738
AC-2018-38,AC-2018-39,0.38457173,null,531314.0,0.4647647
AC-2018-39,AC-2018-40,0.32221395,null,374169.0,0.28089112
AC-2018-40,AC-2018-41,0.19228339,null,311533.0,0.6055812
AC-2018-41,AC-2018-42,0.2087568,null,374980.0,0.06836958
AC-2018-42,AC-2018-43,0.24956566,null,328382.0,0.06687141
AC-2018-43,AC-2018-44,1.0,null,573871.0,0.0
AC-2018-44,AC-2018-45,NaN,null,1222406.0,0.0
AC-2018-45,AC-2018-46,1.0,null,1344504.0,0.0
AC-2018-46,AC-2018-47,0.19066739,null,272581.0,0.15831855
AC-2018-47,AC-2018-48,0.2420432,null,370713.0,0.9301715
AC-2018-48,AC-2018-49,0.43754047,null,674627.0,0.4782292
AC-2018-49,AC-2018-50,0.42158085,null,538053.0,0.41994095
