Name, Name 2nd, JaccardVertex, JaccardEdge, GED, KLD
SchemEx-2017-0,SchemEx-2017-1,0.23400438,null,716694.0,0.07521755
SchemEx-2017-1,SchemEx-2017-2,0.23624885,null,809128.0,0.1640454
SchemEx-2017-2,SchemEx-2017-3,0.27127337,null,867921.0,0.104781576
SchemEx-2017-3,SchemEx-2017-4,0.18639487,null,679022.0,0.09030318
SchemEx-2017-4,SchemEx-2017-5,0.269593,null,797650.0,0.060545534
SchemEx-2017-5,SchemEx-2017-6,0.31597555,null,750599.0,0.07369156
SchemEx-2017-6,SchemEx-2017-7,0.43119782,null,1171572.0,0.46695596
SchemEx-2017-7,SchemEx-2017-8,0.60164905,null,1466652.0,0.16043878
SchemEx-2017-8,SchemEx-2017-9,0.5780541,null,1356784.0,0.9439051
SchemEx-2017-9,SchemEx-2017-10,0.4947834,null,1131051.0,0.049975958
SchemEx-2017-10,SchemEx-2017-11,0.52604246,null,1271125.0,0.055065524
SchemEx-2017-11,SchemEx-2017-12,0.19990999,null,576744.0,0.06842116
SchemEx-2017-12,SchemEx-2017-13,0.2977429,null,721001.0,0.033878855
SchemEx-2017-13,SchemEx-2017-14,0.4985351,null,1348487.0,0.09363118
SchemEx-2017-14,SchemEx-2017-15,0.45623636,null,1148248.0,0.060332704
SchemEx-2017-15,SchemEx-2017-16,0.2510715,null,582454.0,0.36334693
SchemEx-2017-16,SchemEx-2017-17,0.3148743,null,677828.0,0.1053623
SchemEx-2017-17,SchemEx-2017-18,0.17867666,null,410827.0,0.059333026
SchemEx-2017-18,SchemEx-2017-19,0.3124869,null,808695.0,0.09472928
SchemEx-2017-19,SchemEx-2017-20,0.26129472,null,700385.0,0.25371912
SchemEx-2017-20,SchemEx-2017-21,0.27039623,null,629241.0,0.09756029
SchemEx-2017-21,SchemEx-2017-22,0.20882016,null,414685.0,0.07448119
SchemEx-2017-22,SchemEx-2017-23,0.4393561,null,1100342.0,0.08593089
SchemEx-2017-23,SchemEx-2017-24,0.5205719,null,1339020.0,0.091176234
SchemEx-2017-24,SchemEx-2017-25,0.1886161,null,441829.0,0.043651335
SchemEx-2017-25,SchemEx-2017-26,0.5123737,null,1569466.0,0.6544801
SchemEx-2017-26,SchemEx-2017-27,0.5243993,null,1598726.0,0.8605854
SchemEx-2017-27,SchemEx-2017-28,0.3270924,null,766728.0,0.04255705
SchemEx-2017-28,SchemEx-2017-29,0.7731043,null,2088477.0,0.1075889
SchemEx-2017-29,SchemEx-2017-30,0.4853757,null,986150.0,0.08178647
SchemEx-2017-30,SchemEx-2017-31,0.6806462,null,1959495.0,0.39920324
SchemEx-2017-31,SchemEx-2017-32,0.74806464,null,1601039.0,0.471398
SchemEx-2017-32,SchemEx-2017-33,0.72350717,null,1571912.0,0.38778216
SchemEx-2017-33,SchemEx-2017-34,0.24290061,null,780239.0,0.11696643
SchemEx-2017-34,SchemEx-2017-35,0.3973894,null,721907.0,0.77359045
SchemEx-2017-35,SchemEx-2017-36,0.42268384,null,804389.0,0.10569854
SchemEx-2017-36,SchemEx-2017-37,0.381231,null,709391.0,0.12666424
SchemEx-2017-37,SchemEx-2017-38,0.5813943,null,1314708.0,0.06477794
SchemEx-2017-38,SchemEx-2017-39,0.2844556,null,698022.0,0.093476936
SchemEx-2017-39,SchemEx-2017-40,0.3666703,null,835458.0,0.099536784
SchemEx-2017-40,SchemEx-2017-41,0.16284436,null,440135.0,0.021962136
SchemEx-2017-41,SchemEx-2017-42,0.32953233,null,873580.0,0.12930669
SchemEx-2017-42,SchemEx-2017-43,0.4372127,null,1292446.0,0.4967817
SchemEx-2017-43,SchemEx-2017-44,0.43174428,null,1052764.0,0.38740152
SchemEx-2017-44,SchemEx-2017-45,0.36339527,null,828419.0,0.31059945
SchemEx-2017-45,SchemEx-2017-46,0.1799503,null,728766.0,0.12294954
SchemEx-2017-46,SchemEx-2017-47,0.5213963,null,1196162.0,0.32632095
SchemEx-2017-47,SchemEx-2017-48,0.3275255,null,678673.0,0.23118232
SchemEx-2017-48,SchemEx-2017-49,0.25765592,null,618300.0,0.1317424
SchemEx-2017-49,SchemEx-2017-50,0.28254598,null,683980.0,0.18896018
SchemEx-2017-50,SchemEx-2017-51,0.45032483,null,1320608.0,0.14629337
