Name, Name 2nd, JaccardVertex, JaccardEdge, GED, KLD
AC-2013-0,AC-2013-1,0.9444354,0.81971186,398743.0,1.0782362
AC-2013-1,AC-2013-2,0.9481414,0.8398671,359335.0,1.600678
AC-2013-2,AC-2013-3,0.95273185,0.8286491,357335.0,1.3476597
AC-2013-3,null,1.0,null,193890.0,7.909776
null,null,NaN,null,0.0,0.0
null,AC-2013-6,1.0,null,167513.0,7.8975163
AC-2013-6,AC-2013-7,0.94754803,0.8081354,356883.0,0.7175825
AC-2013-7,AC-2013-8,0.950756,0.8068926,449251.0,0.630023
AC-2013-8,AC-2013-9,0.93835604,0.81026953,454896.0,0.5872487
AC-2013-9,AC-2013-10,0.94641244,0.81341976,398126.0,0.7225191
AC-2013-10,AC-2013-11,0.9459042,0.8277931,354024.0,1.2047508
AC-2013-11,AC-2013-12,0.95786244,0.8316786,360750.0,1.6715987
AC-2013-12,AC-2013-13,0.9451046,0.81524754,409603.0,0.962105
AC-2013-13,AC-2013-14,0.94523805,0.8248465,383619.0,1.0159672
AC-2013-14,AC-2013-15,0.9517803,0.8386998,376839.0,1.2998742
AC-2013-15,AC-2013-16,0.946092,0.81687015,382627.0,0.72307885
AC-2013-16,AC-2013-17,0.9456569,0.81122434,389004.0,0.52379024
AC-2013-17,AC-2013-18,0.9430179,0.82211727,373700.0,0.78466946
AC-2013-18,AC-2013-19,0.94582385,0.8252058,347100.0,1.4167161
AC-2013-19,AC-2013-20,0.9474561,0.8336892,322722.0,2.56105
AC-2013-20,AC-2013-21,0.9527251,0.83172804,315617.0,2.5348473
AC-2013-21,AC-2013-22,0.9684972,0.87143505,400326.0,4.2265453
AC-2013-22,null,1.0,null,234664.0,7.945633
null,AC-2013-24,1.0,null,282554.0,8.331078
AC-2013-24,AC-2013-25,0.95812994,0.87757254,492867.0,3.476145
AC-2013-25,AC-2013-26,0.9678698,0.89050066,444912.0,1.4355354
AC-2013-26,AC-2013-27,0.9618625,0.88707787,427265.0,1.2206895
AC-2013-27,AC-2013-28,0.9584812,0.81495404,405080.0,1.2594448
AC-2013-28,AC-2013-29,0.95672697,0.81948185,412884.0,1.3482535
AC-2013-29,AC-2013-30,0.95461965,0.79313916,404832.0,0.60031176
AC-2013-30,AC-2013-31,0.9578855,0.8093159,416028.0,1.0444163
AC-2013-31,AC-2013-32,0.95521724,0.8089664,393261.0,1.0035379
AC-2013-32,AC-2013-33,0.9593785,0.8057909,358989.0,0.82815576
AC-2013-33,AC-2013-34,0.9564234,0.8032845,341290.0,0.4582041
AC-2013-34,null,1.0,null,163876.0,7.4319463
null,AC-2013-36,1.0,null,221929.0,7.52545
AC-2013-36,AC-2013-37,0.9596232,0.8157365,432450.0,0.9208737
AC-2013-37,AC-2013-38,0.95219505,0.79686373,411686.0,0.82537615
AC-2013-38,AC-2013-39,0.95601815,0.803511,414275.0,0.8828951
AC-2013-39,null,1.0,null,213104.0,7.5100965
null,AC-2013-41,1.0,null,172811.0,7.2100706
AC-2013-41,AC-2013-42,0.95939606,0.788062,386719.0,0.40792003
AC-2013-42,AC-2013-43,0.9507305,0.792709,407272.0,0.5352382
AC-2013-43,AC-2013-44,0.9557164,0.8027044,393102.0,0.82074535
AC-2013-44,AC-2013-45,0.9594501,0.81010723,363793.0,1.0039741
AC-2013-45,AC-2013-46,0.96553195,0.80965495,370138.0,0.86563176
AC-2013-46,AC-2013-47,0.9517474,0.7917405,401911.0,0.29195863
AC-2013-47,AC-2013-48,0.9550199,0.8027676,398391.0,0.5064687
AC-2013-48,AC-2013-49,0.96006167,0.80570984,460782.0,0.5738554
AC-2013-49,AC-2013-50,0.954741,0.79896665,511499.0,0.60615146
AC-2013-50,AC-2013-51,0.9539898,0.7946702,510961.0,0.55702263
