Name, Number of EQC, Average Size of EQC, Average Number of Edges, TMH, Comp, Avg Degree
AC-2013-0,75924.0,93.64898,0.0,0.0,0,0
AC-2013-1,72297.0,89.13302,0.0,0.0,0,0
AC-2013-2,59612.0,109.891495,0.0,0.0,0,0
AC-2013-3,76672.0,85.69478,9.63023,369190.06,0,0
AC-2013-4,0.0,0,0,0.0,0,0
AC-2013-5,0.0,0,0,0.0,0,0
AC-2013-6,59396.0,107.841576,9.620631,285718.94,0,0
AC-2013-7,72167.0,96.3512,9.078138,327575.4,0,0
AC-2013-8,73736.0,94.11926,9.315789,343460.44,0,0
0,0.0,0,0,0.0,0,0
AC-2013-10,76565.0,90.80507,9.542689,365321.47,0,0
AC-2013-11,60025.0,122.80215,9.665889,290100.75,0,0
AC-2013-12,79898.0,82.48163,9.5952215,383323.34,0,0
AC-2013-13,78279.0,92.39365,9.842844,385249.7,0,0
AC-2013-14,75610.0,85.18369,9.533726,360427.25,0,0
AC-2013-15,77266.0,90.17432,10.058991,388613.53,0,0
AC-2013-16,75829.0,92.57073,9.831608,372764.12,0,0
AC-2013-17,80624.0,90.23937,9.699705,391019.16,0,0
AC-2013-18,11071.0,161.24081,43.53166,240973.72,0,0
AC-2013-19,72662.0,91.45632,9.641986,350307.72,0,0
AC-2013-20,61894.0,140.82372,10.39692,321755.66,0,0
AC-2013-21,78168.0,103.61195,9.0344515,353106.16,0,0
AC-2013-22,84681.0,118.88715,11.233264,475624.28,0,0
AC-2013-23,83368.0,121.71426,12.010076,500632.4,0,0
AC-2013-24,88677.0,112.23069,11.786821,522612.03,0,0
AC-2013-25,75901.0,123.18338,11.667369,442785.22,0,0
AC-2013-26,74973.0,126.82964,13.605445,510025.1,0,0
AC-2013-27,78123.0,135.80045,11.140637,435172.78,0,0
AC-2013-28,80058.0,127.090836,11.520435,461154.22,0,0
AC-2013-29,73450.0,134.14104,11.275058,414080.56,0,0
AC-2013-30,75587.0,125.60877,11.4276,431891.88,0,0
AC-2013-31,75311.0,134.14047,11.667366,439343.4,0,0
AC-2013-32,67858.0,134.67546,11.565534,392410.53,0,0
AC-2013-33,60550.0,149.38632,11.679439,353597.7,0,0
AC-2013-34,8403.0,240.88063,28.278234,118815.484,0,0
0,0.0,0,0,0.0,0,0
AC-2013-36,77093.0,131.18782,11.129882,429021.3,0,0
AC-2013-37,75240.0,136.95062,11.341321,426666.56,0,0
AC-2013-38,10388.0,204.2477,0.0,0.0,0,0
AC-2013-39,75398.0,134.58923,11.82026,445614.1,0,0
AC-2013-40,0.0,0,0,0.0,0,0
AC-2013-41,59895.0,162.36476,11.728308,351237.44,0,0
AC-2013-42,73431.0,138.8839,11.299002,414851.4,0,0
AC-2013-43,72130.0,135.67996,12.214418,440519.16,0,0
AC-2013-44,70403.0,146.6056,12.134099,427145.53,0,0
AC-2013-45,56630.0,174.20657,12.758661,361264.84,0,0
AC-2013-46,75700.0,138.71065,12.161876,460330.5,0,0
AC-2013-47,75628.0,139.25763,12.240652,462873.94,0,0
AC-2013-48,70363.0,142.03136,11.605432,408299.7,0,0
AC-2013-49,12647.0,151.13528,0.0,0.0,0,0
AC-2013-50,71456.0,135.75003,11.96868,427621.53,0,0
AC-2013-0,75924.0,93.64898,0.0,0.0,0,0
AC-2013-1,72297.0,89.13302,0.0,0.0,0,0
AC-2013-2,59612.0,109.891495,0.0,0.0,0,0
AC-2013-3,76672.0,85.69478,9.63023,369190.06,0,0
AC-2013-4,0.0,0,0,0.0,0,0
AC-2013-5,0.0,0,0,0.0,0,0
AC-2013-6,59396.0,107.841576,9.620631,285718.94,0,0
AC-2013-7,72167.0,96.3512,9.078138,327575.4,0,0
AC-2013-8,73736.0,94.11926,9.315789,343460.44,0,0
AC-2013-9,77821.0,92.469086,9.505789,369880.34,0,0
AC-2013-10,76565.0,90.80507,9.542689,365321.47,0,0
AC-2013-11,60025.0,122.80215,9.665889,290100.75,0,0
AC-2013-12,79898.0,82.48163,9.5952215,383323.34,0,0
AC-2013-13,78279.0,92.39365,9.842844,385249.7,0,0
AC-2013-14,75610.0,85.18369,9.533726,360427.25,0,0
AC-2013-15,77266.0,90.17432,10.058991,388613.53,0,0
AC-2013-16,75829.0,92.57073,9.831608,372764.12,0,0
AC-2013-17,80624.0,90.23937,9.699705,391019.16,0,0
AC-2013-18,11071.0,161.24081,43.53166,240973.72,0,0
AC-2013-19,72662.0,91.45632,9.641986,350307.72,0,0
AC-2013-20,61894.0,140.82372,10.39692,321755.66,0,0
AC-2013-21,78168.0,103.61195,9.0344515,353106.16,0,0
AC-2013-22,84681.0,118.88715,11.233264,475624.28,0,0
AC-2013-23,83368.0,121.71426,12.010076,500632.4,0,0
AC-2013-24,88677.0,112.23069,11.786821,522612.03,0,0
AC-2013-25,75901.0,123.18338,11.667369,442785.22,0,0
