Name, Number of EQC, Average Size of EQC, Average Number of Edges, TMH, Comp, Avg Degree
AC-2018-0,53468.0,133.41623,13.483897,360492.06,0,0
AC-2018-1,58359.0,118.132744,14.196593,414264.06,0,0
AC-2018-2,54676.0,126.91492,13.797864,377220.28,0,0
AC-2018-3,54114.0,133.53072,13.333333,360780.0,0,0
AC-2018-4,51429.0,125.787704,13.320267,342542.5,0,0
AC-2018-5,53633.0,122.806015,13.765667,369161.75,0,0
AC-2018-6,58418.0,106.37131,14.311172,418028.22,0,0
AC-2018-7,55154.0,128.43874,13.818635,381091.16,0,0
AC-2018-8,54671.0,125.511604,13.875894,379320.56,0,0
AC-2018-9,54854.0,125.50748,13.826685,379243.6,0,0
AC-2018-10,54298.0,120.06612,13.827323,375417.75,0,0
AC-2018-11,54189.0,118.829414,13.583716,368063.94,0,0
AC-2018-12,54130.0,125.89736,13.525734,366093.53,0,0
AC-2018-13,55301.0,137.89249,13.715629,379265.38,0,0
AC-2018-14,54326.0,125.91656,13.637872,370467.2,0,0
AC-2018-15,56487.0,167.37155,13.694089,386790.44,0,0
AC-2018-16,56143.0,170.00699,13.743192,385811.66,0,0
AC-2018-17,53159.0,133.1263,13.722041,364745.47,0,0
AC-2018-18,53976.0,129.93651,13.9230585,375776.25,0,0
AC-2018-19,58793.0,177.24701,13.867416,407671.03,0,0
AC-2018-20,52777.0,180.03503,14.723838,388561.0,0,0
AC-2018-21,55260.0,141.63826,14.045766,388108.72,0,0
AC-2018-22,55754.0,135.0027,13.866557,386580.1,0,0
AC-2018-23,55238.0,133.8291,13.859046,382796.2,0,0
AC-2018-24,60366.0,175.62315,13.678296,412869.38,0,0
AC-2018-25,56958.0,129.2525,13.605112,387476.5,0,0
AC-2018-26,62093.0,166.94063,13.947595,433038.7,0,0
AC-2018-27,56652.0,171.2716,13.402422,379652.38,0,0
AC-2018-28,59718.0,171.4568,14.101895,421086.0,0,0
AC-2018-29,57802.0,116.70925,13.878966,401140.38,0,0
AC-2018-30,58928.0,173.20807,13.796073,406512.03,0,0
AC-2018-31,57132.0,172.78119,13.98528,399524.6,0,0
AC-2018-32,54854.0,135.69873,13.9446535,382484.03,0,0
AC-2018-33,55693.0,139.66504,14.070835,391850.5,0,0
AC-2018-34,53398.0,131.18028,13.513016,360802.16,0,0
AC-2018-35,54223.0,131.02696,13.582114,368249.66,0,0
AC-2018-36,58405.0,119.0798,13.917096,406431.3,0,0
AC-2018-37,59479.0,132.61891,13.866054,412384.88,0,0
AC-2018-38,56774.0,129.88835,13.863952,393577.22,0,0
AC-2018-39,54172.0,133.0404,12.871502,348655.16,0,0
AC-2018-40,54015.0,131.01503,13.393558,361751.0,0,0
AC-2018-41,51966.0,126.97527,13.400954,348222.03,0,0
AC-2018-42,55016.0,125.55617,13.660808,375805.53,0,0
AC-2018-43,54808.0,155.81496,13.349529,365853.38,0,0
AC-2018-44,0.0,0,Infinity,294374.94,0,0
AC-2018-45,0.0,0,0,0.0,0,0
AC-2018-46,46293.0,134.63567,14.021667,324577.0,0,0
AC-2018-47,50604.0,171.42078,14.274385,361197.47,0,0
AC-2018-48,50475.0,180.51802,13.859534,349806.22,0,0
AC-2018-49,55616.0,125.236206,14.312482,398019.56,0,0
AC-2018-50,55571.0,186.85121,14.540966,404046.47,0,0
AC-2018-0,53468.0,133.41623,13.483897,360492.06,0,0
AC-2018-1,58359.0,118.132744,14.196593,414264.06,0,0
AC-2018-2,54676.0,126.91492,13.797864,377220.28,0,0
AC-2018-3,54114.0,133.53072,13.333333,360780.0,0,0
AC-2018-4,51429.0,125.787704,13.320267,342542.5,0,0
AC-2018-5,53633.0,122.806015,13.765667,369161.75,0,0
AC-2018-6,58418.0,106.37131,14.311172,418028.22,0,0
AC-2018-7,55154.0,128.43874,13.818635,381091.16,0,0
AC-2018-8,54671.0,125.511604,13.875894,379320.56,0,0
AC-2018-9,54854.0,125.50748,13.826685,379243.6,0,0
AC-2018-10,54298.0,120.06612,13.827323,375417.75,0,0
AC-2018-11,54189.0,118.829414,13.583716,368063.94,0,0
AC-2018-12,54130.0,125.89736,13.525734,366093.53,0,0
AC-2018-13,55301.0,137.89249,13.715629,379265.38,0,0
AC-2018-14,54326.0,125.91656,13.637872,370467.2,0,0
AC-2018-15,56487.0,167.37155,13.694089,386790.44,0,0
AC-2018-16,56143.0,170.00699,13.743192,385811.66,0,0
AC-2018-17,53159.0,133.1263,13.722041,364745.47,0,0
AC-2018-18,53976.0,129.93651,13.9230585,375776.25,0,0
AC-2018-19,58793.0,177.24701,13.867416,407671.03,0,0
AC-2018-20,52777.0,180.03503,14.723838,388561.0,0,0
AC-2018-21,55260.0,141.63826,14.045766,388108.72,0,0
AC-2018-22,55754.0,135.0027,13.866557,386580.1,0,0
AC-2018-23,55238.0,133.8291,13.859046,382796.2,0,0
AC-2018-24,60366.0,175.62315,13.678296,412869.38,0,0
AC-2018-25,56958.0,129.2525,13.605112,387476.5,0,0
AC-2018-26,62093.0,166.94063,13.947595,433038.7,0,0
AC-2018-27,56652.0,171.2716,13.402422,379652.38,0,0
AC-2018-28,59718.0,171.45671,14.101895,421081.66,0,0
AC-2018-29,57802.0,116.70927,13.878966,401138.25,0,0
AC-2018-30,58928.0,173.20807,13.796073,406512.03,0,0
AC-2018-31,57132.0,172.78119,13.98528,399524.6,0,0
AC-2018-32,54854.0,135.69873,13.9446535,382484.03,0,0
AC-2018-33,55693.0,139.66504,14.070835,391850.5,0,0
AC-2018-34,53398.0,131.18028,13.513016,360802.16,0,0
AC-2018-35,54223.0,131.02696,13.582114,368249.66,0,0
AC-2018-36,58405.0,119.0798,13.917096,406431.3,0,0
AC-2018-37,59479.0,132.61891,13.866054,412384.88,0,0
AC-2018-38,56774.0,129.88835,13.863952,393577.22,0,0
AC-2018-39,54172.0,133.0404,12.871502,348655.16,0,0
AC-2018-40,54015.0,131.01503,13.393558,361751.0,0,0
AC-2018-41,51966.0,126.97527,13.400954,348222.03,0,0
AC-2018-42,55016.0,125.55617,13.660808,375805.53,0,0
AC-2018-43,54808.0,155.81496,13.349529,365853.38,0,0
AC-2018-44,53888.0,249.94583,13.926477,375261.0,0,0
AC-2018-45,0.0,0,0,0.0,0,0
AC-2018-46,46293.0,134.63567,14.021667,324577.0,0,0
AC-2018-47,50604.0,171.42078,14.274385,361197.47,0,0
AC-2018-48,50475.0,180.51802,13.859534,349806.22,0,0
AC-2018-49,55616.0,125.236206,14.312482,398019.56,0,0
AC-2018-50,55571.0,186.85121,14.540966,404046.47,0,0
