Name, Name 2nd, JaccardVertex, JaccardEdge, GED, KLD
AC-2014-0,AC-2014-1,0.95539504,0.7880019,497905.0,0.45459953
AC-2014-1,AC-2014-2,0.9544506,0.7889153,517357.0,0.6686799
AC-2014-2,AC-2014-3,0.953038,0.7879218,498248.0,0.5443512
AC-2014-3,AC-2014-4,0.9449411,0.8243195,341642.0,1.878445
AC-2014-4,null,1.0,null,100881.0,8.250168
null,AC-2014-6,1.0,null,257694.0,7.48596
AC-2014-6,AC-2014-7,0.9509309,0.7950807,471203.0,0.9111368
AC-2014-7,AC-2014-8,0.94654113,0.78560686,383188.0,0.8187417
AC-2014-8,AC-2014-9,0.94695115,0.7852653,319382.0,0.8577211
AC-2014-9,AC-2014-10,0.94590527,0.776118,285596.0,1.099785
AC-2014-10,AC-2014-11,0.9673638,0.82024896,343834.0,2.2939625
AC-2014-11,AC-2014-12,0.9525869,0.82495713,331082.0,3.1527448
AC-2014-12,AC-2014-13,0.97074616,0.880294,402452.0,4.067392
AC-2014-13,AC-2014-14,0.9437591,0.88111895,381966.0,3.6384525
AC-2014-14,AC-2014-15,0.95025694,0.7901078,216316.0,0.57439107
AC-2014-15,AC-2014-16,0.97070956,0.88137716,400968.0,3.8389583
AC-2014-16,AC-2014-17,0.95402914,0.83951056,551863.0,2.420195
AC-2014-17,AC-2014-18,0.9604668,0.84948486,538953.0,2.6637902
AC-2014-18,AC-2014-19,0.9592942,0.8565477,548017.0,2.3858218
AC-2014-19,AC-2014-20,0.9493246,0.8248366,557701.0,1.750336
AC-2014-20,AC-2014-21,0.951515,0.82308775,591968.0,1.5077572
AC-2014-21,null,1.0,null,307882.0,7.626613
null,AC-2014-23,1.0,null,97480.0,7.272853
AC-2014-23,AC-2014-24,0.9450719,0.7809941,196429.0,0.53273
AC-2014-24,AC-2014-25,0.9449253,0.7915286,194703.0,0.6604569
AC-2014-25,AC-2014-26,0.97051954,0.8399602,354820.0,0.5357972
AC-2014-26,AC-2014-27,0.9542774,0.7848929,520213.0,0.5413441
AC-2014-27,AC-2014-28,0.93224895,0.82565117,350951.0,0.5587614
AC-2014-28,AC-2014-29,0.9456729,0.7913878,178400.0,2.2600262
AC-2014-29,AC-2014-30,0.9489505,0.80254114,171058.0,2.5493762
AC-2014-30,AC-2014-31,0.9547902,0.80501616,185895.0,1.8992591
AC-2014-31,AC-2014-32,0.96590555,0.8312128,322061.0,1.2602606
AC-2014-32,AC-2014-33,0.95670795,0.79697925,488395.0,1.525935
AC-2014-33,AC-2014-34,0.9536343,0.79179084,537357.0,0.74593294
AC-2014-34,AC-2014-35,0.95476735,0.7948779,539860.0,0.38844132
AC-2014-35,AC-2014-36,0.9570504,0.80366206,528896.0,0.71642226
AC-2014-36,AC-2014-37,0.95315546,0.7949679,488470.0,0.5184206
AC-2014-37,AC-2014-38,0.9274074,0.86592114,280524.0,1.704777
AC-2014-38,AC-2014-39,0.97922903,0.8978218,296946.0,1.8076644
AC-2014-39,AC-2014-40,0.9560363,0.794366,513063.0,0.75820625
AC-2014-40,AC-2014-41,0.9252658,0.89833945,296413.0,1.5282376
AC-2014-41,AC-2014-42,0.98366135,0.9247213,295361.0,1.6843132
AC-2014-42,AC-2014-43,0.9547095,0.79643595,529241.0,0.4484763
AC-2014-43,AC-2014-44,0.9559682,0.8014392,543982.0,0.394232
AC-2014-44,AC-2014-45,0.9581051,0.8100009,535224.0,0.5459743
AC-2014-45,AC-2014-46,0.9557075,0.8009424,514853.0,0.8236549
AC-2014-46,AC-2014-47,0.956668,0.8024099,520535.0,0.80225366
AC-2014-47,AC-2014-48,0.9577771,0.8085682,527718.0,1.2161489
AC-2014-48,AC-2014-49,0.9564315,0.7947856,534988.0,0.45986915
AC-2014-49,AC-2014-50,0.95460945,0.7951399,532839.0,0.46109
AC-2014-50,AC-2014-51,0.95595443,0.7878127,530499.0,0.8662753
AC-2014-51,AC-2014-52,0.95282626,0.7807328,519517.0,0.49158365
