Name, Number of EQC, Average Size of EQC, Average Number of Edges, TMH, Comp, Avg Degree
AC-2016-0,57771.0,104.66238,9.495421,274282.88,0,0
AC-2016-1,56516.0,95.261345,9.611136,271595.06,0,0
AC-2016-2,59659.0,109.47896,10.767763,321201.9,0,0
AC-2016-3,52943.0,98.78209,10.012126,265039.72,0,0
AC-2016-4,53084.0,103.41982,9.595848,254697.7,0,0
AC-2016-5,53862.0,102.67043,11.086592,298576.6,0,0
AC-2016-6,54197.0,95.682396,11.0164585,298533.78,0,0
AC-2016-7,51676.0,84.70253,10.060395,259945.81,0,0
AC-2016-8,52262.0,107.10185,9.708181,253689.8,0,0
AC-2016-9,60948.0,103.98166,10.828953,330006.78,0,0
AC-2016-10,57728.0,105.30424,10.731586,309759.97,0,0
AC-2016-11,60588.0,96.55894,10.663679,323049.97,0,0
AC-2016-12,53128.0,98.755554,11.048976,293509.12,0,0
AC-2016-13,0.0,0,0,0.0,0,0
AC-2016-14,57439.0,88.70189,11.063563,317746.9,0,0
AC-2016-15,71138.0,96.360344,11.1529,396704.0,0,0
AC-2016-16,68171.0,88.180016,11.563671,394159.84,0,0
AC-2016-17,66912.0,94.23386,11.3694105,380381.47,0,0
AC-2016-18,65196.0,98.231026,11.302012,368428.03,0,0
AC-2016-19,67553.0,99.2391,11.673161,394283.5,0,0
AC-2016-20,64814.0,89.917564,11.58816,375543.47,0,0
AC-2016-21,67738.0,104.41,10.989135,372197.34,0,0
AC-2016-22,68028.0,88.64864,11.684336,397436.34,0,0
AC-2016-23,68793.0,90.76124,10.582952,364022.75,0,0
AC-2016-24,67873.0,90.25231,11.529754,391287.7,0,0
AC-2016-25,68904.0,97.9807,11.822449,407316.9,0,0
AC-2016-26,66727.0,100.29567,10.207742,340577.72,0,0
AC-2016-27,70226.0,87.22764,11.015336,386791.88,0,0
AC-2016-28,71817.0,91.654205,11.351755,407634.6,0,0
AC-2016-29,62127.0,106.13986,11.205869,348099.84,0,0
AC-2016-30,62086.0,104.08699,10.479383,325324.1,0,0
AC-2016-31,66688.0,114.7835,11.927348,397715.34,0,0
AC-2016-32,62625.0,106.21506,11.594124,363053.03,0,0
AC-2016-33,72031.0,123.21473,11.549,415951.25,0,0
AC-2016-34,71876.0,104.70975,11.58651,416404.47,0,0
AC-2016-35,70315.0,100.03129,11.682913,410752.44,0,0
AC-2016-36,69706.0,109.24385,12.009641,418579.16,0,0
AC-2016-37,68239.0,92.0854,11.857471,404579.5,0,0
AC-2016-38,59108.0,97.373215,11.103133,328156.12,0,0
AC-2016-39,64689.0,110.189384,11.762093,380453.75,0,0
AC-2016-40,66535.0,105.644394,11.921305,396624.6,0,0
AC-2016-41,67784.0,105.504974,12.192553,413261.7,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
0,0.0,0,0,0.0,0,0
AC-2016-0,57771.0,104.66238,9.495421,274282.88,0,0
AC-2016-1,56516.0,95.261345,9.611136,271595.06,0,0
AC-2016-2,59659.0,109.47896,10.767763,321201.9,0,0
AC-2016-3,52943.0,98.78209,10.012126,265039.72,0,0
AC-2016-4,53084.0,103.41982,9.595848,254697.7,0,0
AC-2016-5,53862.0,102.67043,11.086592,298576.6,0,0
AC-2016-6,54197.0,95.682396,11.0164585,298533.78,0,0
AC-2016-7,51676.0,84.70253,10.060395,259945.81,0,0
AC-2016-8,52262.0,107.10185,9.708181,253689.8,0,0
AC-2016-9,60948.0,103.98166,10.828953,330006.78,0,0
