Name, Name 2nd, Graph Creation, JaccardVertex, JaccardEdge, GED, KLD
AC-2013-1,AC-2013-0,1284,74985,1548,5873
AC-2013-2,AC-2013-1,950,58533,732,4855
AC-2013-3,AC-2013-2,858,51484,997,4291
null,AC-2013-3,3,null,2,2229
null,null,0,null,0,0
AC-2013-6,null,0,null,3,1685
AC-2013-7,AC-2013-6,1128,52009,1149,4878
AC-2013-8,AC-2013-7,1807,110671,1846,11446
AC-2013-9,AC-2013-8,1547,123196,1040,7420
AC-2013-10,AC-2013-9,1227,66006,1053,6184
AC-2013-11,AC-2013-10,1055,54552,766,4614
AC-2013-12,AC-2013-11,1054,66313,1143,4825
AC-2013-13,AC-2013-12,1227,49028,1253,7238
AC-2013-14,AC-2013-13,1175,61152,1048,5142
AC-2013-15,AC-2013-14,1353,65732,1042,4497
AC-2013-16,AC-2013-15,914,38959,1291,4186
AC-2013-17,AC-2013-16,1225,63648,852,4985
AC-2013-18,AC-2013-17,1174,56742,1112,4925
AC-2013-19,AC-2013-18,617,33560,926,3803
AC-2013-20,AC-2013-19,665,37231,492,3333
AC-2013-21,AC-2013-20,806,37518,624,3252
AC-2013-22,AC-2013-21,1108,81315,1064,4219
null,AC-2013-22,1,null,2,2039
AC-2013-24,null,0,null,3,3122
AC-2013-25,AC-2013-24,1186,109868,748,5160
AC-2013-26,AC-2013-25,842,113999,768,3532
AC-2013-27,AC-2013-26,713,55470,788,3402
AC-2013-28,AC-2013-27,921,73841,577,3467
AC-2013-29,AC-2013-28,714,51013,941,3383
AC-2013-30,AC-2013-29,604,47665,569,3476
AC-2013-31,AC-2013-30,753,50537,576,3417
AC-2013-32,AC-2013-31,738,51568,581,3180
AC-2013-33,AC-2013-32,606,31759,529,2722
AC-2013-34,AC-2013-33,461,27485,502,2416
null,AC-2013-34,0,null,1,1142
AC-2013-36,null,0,null,3,1881
AC-2013-37,AC-2013-36,863,55914,753,3975
AC-2013-38,AC-2013-37,799,45176,658,3541
AC-2013-39,AC-2013-38,892,64251,697,3668
null,AC-2013-39,1,null,2,1676
AC-2013-41,null,0,null,1,1097
AC-2013-42,AC-2013-41,657,45159,576,3190
AC-2013-43,AC-2013-42,751,44325,755,3491
AC-2013-44,AC-2013-43,703,55132,551,3318
AC-2013-45,AC-2013-44,565,33271,550,2521
AC-2013-46,AC-2013-45,600,36477,508,2843
AC-2013-47,AC-2013-46,850,67309,737,3276
AC-2013-48,AC-2013-47,675,51448,849,3422
AC-2013-49,AC-2013-48,930,109106,745,4725
AC-2013-50,AC-2013-49,1354,304589,1207,5922
AC-2013-51,AC-2013-50,1561,222692,1253,6053
AC-2013-1,AC-2013-0,1157,73824,1215,5755
AC-2013-2,AC-2013-1,962,56271,897,3819
AC-2013-3,AC-2013-2,864,40514,764,3291
null,AC-2013-3,3,11,4,1
null,null,0,0,0,0
AC-2013-6,null,0,0,5,0
AC-2013-7,AC-2013-6,1171,55361,1134,4265
AC-2013-8,AC-2013-7,1544,82567,1628,6858
AC-2013-9,AC-2013-8,1497,63052,1481,6840
AC-2013-10,AC-2013-9,1232,69714,1123,5462
AC-2013-11,AC-2013-10,894,43421,826,3592
AC-2013-12,AC-2013-11,1087,56745,846,3801
AC-2013-13,AC-2013-12,1387,76246,1432,5679
AC-2013-14,AC-2013-13,1124,56075,1173,4512
AC-2013-15,AC-2013-14,1136,57632,1015,3696
AC-2013-16,AC-2013-15,1062,62414,981,4047
AC-2013-17,AC-2013-16,1042,60028,1039,4713
AC-2013-18,AC-2013-17,932,51035,871,4475
AC-2013-19,AC-2013-18,1129,46457,879,3456
AC-2013-20,AC-2013-19,770,27083,911,2923
AC-2013-21,AC-2013-20,731,36008,758,2676
AC-2013-22,AC-2013-21,1302,87972,1119,2944
AC-2013-23,AC-2013-22,1188,109621,1214,2673
AC-2013-24,AC-2013-23,1144,158753,1266,4277
AC-2013-25,AC-2013-24,1116,92428,1018,3967
AC-2013-26,AC-2013-25,934,86669,781,2695
AC-2013-27,AC-2013-26,693,83558,839,2626
AC-2013-28,AC-2013-27,855,72102,718,3186
AC-2013-29,AC-2013-28,788,65974,876,3145
AC-2013-30,AC-2013-29,919,63134,778,3211
AC-2013-31,AC-2013-30,821,58893,936,3180
AC-2013-32,AC-2013-31,756,53337,639,2865
AC-2013-33,AC-2013-32,435,31272,593,2275
AC-2013-34,AC-2013-33,613,36962,385,2175
AC-2013-35,AC-2013-34,603,32309,776,2617
AC-2013-36,AC-2013-35,988,72631,767,3570
AC-2013-37,AC-2013-36,871,70457,998,3255
AC-2013-38,AC-2013-37,948,62439,738,3516
AC-2013-39,AC-2013-38,784,53010,841,3315
null,AC-2013-39,0,4,2,0
AC-2013-41,null,0,0,1,1
AC-2013-42,AC-2013-41,752,54513,650,2935
AC-2013-43,AC-2013-42,853,54364,874,3375
AC-2013-44,AC-2013-43,856,64825,724,3130
AC-2013-45,AC-2013-44,573,32963,652,2140
AC-2013-46,AC-2013-45,507,40152,509,2289
AC-2013-47,AC-2013-46,700,37843,583,3322
AC-2013-48,AC-2013-47,692,65647,648,3219
AC-2013-49,AC-2013-48,1104,108043,819,4344
AC-2013-50,AC-2013-49,1439,146494,1428,5777
AC-2013-51,AC-2013-50,1395,139284,1490,5992
AC-2013-1,AC-2013-0,1154,69481,1472,5682
AC-2013-2,AC-2013-1,710,60371,874,3735
AC-2013-3,AC-2013-2,1024,41049,688,3116
null,AC-2013-3,1,12,4,1
null,null,0,0,0,0
AC-2013-6,null,0,0,6,1
AC-2013-7,AC-2013-6,767,40035,1069,4022
AC-2013-8,AC-2013-7,1495,77121,1210,6352
AC-2013-9,AC-2013-8,1886,92130,1463,6151
AC-2013-10,AC-2013-9,1146,58625,1357,5006
AC-2013-11,AC-2013-10,953,48680,737,3326
AC-2013-12,AC-2013-11,919,41172,942,3440
AC-2013-13,AC-2013-12,1364,70839,1109,5270
AC-2013-14,AC-2013-13,1067,55216,1140,4274
AC-2013-15,AC-2013-14,1231,63441,871,3351
AC-2013-16,AC-2013-15,1047,44382,1092,3645
AC-2013-17,AC-2013-16,1209,62408,949,4392
AC-2013-18,AC-2013-17,942,43357,1090,4081
AC-2013-19,AC-2013-18,697,37208,649,3109
AC-2013-20,AC-2013-19,772,33984,526,2542
AC-2013-21,AC-2013-20,787,33761,734,2533
AC-2013-22,AC-2013-21,1048,66585,982,2635
AC-2013-23,AC-2013-22,1263,136882,1039,2481
AC-2013-24,AC-2013-23,1110,151397,1353,3875
AC-2013-25,AC-2013-24,1286,111791,918,3678
AC-2013-26,AC-2013-25,997,131445,875,2505
AC-2013-27,AC-2013-26,680,59028,940,2411
AC-2013-28,AC-2013-27,796,59891,636,2846
AC-2013-29,AC-2013-28,803,64151,893,2890
AC-2013-30,AC-2013-29,930,68701,655,3033
AC-2013-31,AC-2013-30,743,55406,964,2949
AC-2013-32,AC-2013-31,740,58905,561,2655
AC-2013-33,AC-2013-32,660,43796,580,2196
AC-2013-34,AC-2013-33,463,28482,556,1945
AC-2013-35,AC-2013-34,431,44587,612,2411
AC-2013-36,AC-2013-35,1026,64942,591,3150
AC-2013-37,AC-2013-36,927,50822,1129,2816
AC-2013-38,AC-2013-37,782,53229,622,3228
AC-2013-39,AC-2013-38,943,64694,729,3092
null,AC-2013-39,1,5,2,0
AC-2013-41,null,0,0,5,1
AC-2013-42,AC-2013-41,426,36381,802,2548
AC-2013-43,AC-2013-42,970,65682,491,3185
AC-2013-44,AC-2013-43,840,63903,847,2865
AC-2013-45,AC-2013-44,596,32066,660,1995
AC-2013-46,AC-2013-45,516,34003,578,1978
AC-2013-47,AC-2013-46,864,65324,670,3089
AC-2013-48,AC-2013-47,848,61002,860,3013
AC-2013-49,AC-2013-48,959,109470,1096,3970
AC-2013-50,AC-2013-49,1340,198532,1271,5252
AC-2013-51,AC-2013-50,1586,225042,1350,5522
