Name, Number of EQC, Average Size of EQC, Average Number of Edges, TMH, Comp
SchemEx-2016-0,15563.0,85.0879,7.539035,58671.766,1.0
SchemEx-2016-1,15254.0,79.293365,7.452275,56845.297,1.0
SchemEx-2016-2,15183.0,90.458145,7.87868,59818.664,1.0
SchemEx-2016-3,14931.0,95.507065,7.7312975,57725.555,1.0
SchemEx-2016-4,14695.0,102.24689,7.3694453,54153.38,1.0
SchemEx-2016-5,14665.0,107.20832,8.063893,59136.246,1.0
SchemEx-2016-6,14665.0,96.50297,8.162973,59863.81,1.0
SchemEx-2016-7,14253.0,76.6017,7.662387,54615.855,1.0
SchemEx-2016-8,14374.0,70.955055,7.5500903,54269.29,1.0
SchemEx-2016-9,16881.0,79.59292,8.128073,68614.91,1.0
SchemEx-2016-10,15517.0,90.86827,7.9780884,61908.98,1.0
SchemEx-2016-11,16069.0,95.17805,7.853818,63110.87,1.0
SchemEx-2016-12,14468.0,102.58232,8.140171,58893.914,1.0
null,0.0,0,0,0.0,0.0
SchemEx-2016-14,13723.0,98.38097,7.54201,51759.457,1.0
SchemEx-2016-15,14207.0,117.80763,7.928838,56332.18,1.0
SchemEx-2016-16,13684.0,111.63578,8.083674,55319.2,1.0
SchemEx-2016-17,13344.0,118.256294,7.5843825,50610.96,1.0
SchemEx-2016-18,13515.0,106.964264,7.7793565,52579.105,1.0
SchemEx-2016-19,13013.0,133.18889,7.953201,51756.797,1.0
SchemEx-2016-20,12941.0,104.86353,7.580326,49060.34,1.0
SchemEx-2016-21,12247.0,131.9417,7.3661304,45117.54,1.0
SchemEx-2016-22,13485.0,116.60289,7.9105673,53345.977,1.0
SchemEx-2016-23,13323.0,117.71148,7.491706,49913.44,1.0
SchemEx-2016-24,12843.0,104.01939,7.511407,48243.277,1.0
SchemEx-2016-25,13022.0,120.86323,7.829596,50987.49,1.0
SchemEx-2016-26,13021.0,121.31257,7.1778665,46740.715,1.0
SchemEx-2016-27,12721.0,91.0724,7.2668815,46230.785,1.0
SchemEx-2016-28,13869.0,100.918526,7.8475018,54428.207,1.0
SchemEx-2016-29,12858.0,138.53647,7.409317,47645.523,1.0
SchemEx-2016-30,12914.0,110.81199,7.2035775,46523.094,1.0
SchemEx-2016-31,13298.0,125.51482,7.8039556,51898.312,1.0
SchemEx-2016-32,12831.0,114.9484,7.6941004,49375.297,1.0
SchemEx-2016-33,10692.0,124.39104,7.382342,39473.715,1.0
SchemEx-2016-34,14048.0,126.35108,8.105709,56964.625,1.0
SchemEx-2016-35,13132.0,124.32143,7.7720833,51041.836,1.0
SchemEx-2016-36,12843.0,129.90205,8.059721,51766.445,1.0
SchemEx-2016-37,13404.0,112.231575,7.7290363,51809.78,1.0
SchemEx-2016-38,13474.0,119.70543,7.8192816,52712.906,1.0
SchemEx-2016-39,12079.0,146.69551,7.7768025,46977.5,1.0
SchemEx-2016-40,11547.0,140.80835,8.066164,46625.668,1.0
SchemEx-2016-41,11760.0,148.40663,8.013095,47127.285,1.0
