Name, Name 2nd, JaccardVertex, JaccardEdge, GED, KLD
SchemEx-2020-0,SchemEx-2020-1,0.24155974,null,832398.0,0.2292447
SchemEx-2020-1,SchemEx-2020-2,0.3013112,null,1097264.0,0.10514827
SchemEx-2020-2,SchemEx-2020-3,0.49153286,null,1401458.0,0.5291941
SchemEx-2020-3,SchemEx-2020-4,0.40381813,null,1496237.0,0.4100575
SchemEx-2020-4,SchemEx-2020-5,0.25431126,null,913211.0,0.19709781
SchemEx-2020-5,SchemEx-2020-6,0.20445585,null,767028.0,0.0354779
SchemEx-2020-6,SchemEx-2020-7,0.15568131,null,607809.0,0.056142278
SchemEx-2020-7,SchemEx-2020-8,0.15185243,null,563683.0,0.5421565
SchemEx-2020-8,SchemEx-2020-9,0.17404097,null,718549.0,0.7960321
SchemEx-2020-9,SchemEx-2020-10,0.20432204,null,796069.0,0.09905975
SchemEx-2020-10,SchemEx-2020-11,0.18032444,null,780454.0,0.06239619
SchemEx-2020-11,SchemEx-2020-12,0.18750602,null,806820.0,0.04810554
SchemEx-2020-12,SchemEx-2020-13,0.18126911,null,926143.0,0.09631245
SchemEx-2020-13,SchemEx-2020-14,0.20127434,null,644585.0,0.22245261
SchemEx-2020-14,SchemEx-2020-15,0.21301901,null,694472.0,0.04629544
SchemEx-2020-15,SchemEx-2020-16,0.2619381,null,806060.0,0.06937176
SchemEx-2020-16,SchemEx-2020-17,0.33393246,null,1215677.0,0.30642375
SchemEx-2020-17,SchemEx-2020-18,0.1327846,null,670057.0,0.041919343
SchemEx-2020-18,SchemEx-2020-19,0.48110718,null,1478619.0,0.11020638
SchemEx-2020-19,SchemEx-2020-20,0.26765972,null,911429.0,0.09436659
SchemEx-2020-20,SchemEx-2020-21,0.21535009,null,911894.0,0.67674035
SchemEx-2020-21,SchemEx-2020-22,1.0,null,1408681.0,0.0
SchemEx-2020-22,SchemEx-2020-23,NaN,null,2632650.0,0.0
SchemEx-2020-23,SchemEx-2020-24,NaN,null,0.0,0.0
SchemEx-2020-24,SchemEx-2020-25,NaN,null,0.0,0.0
SchemEx-2020-25,SchemEx-2020-26,NaN,null,0.0,0.0
SchemEx-2020-26,SchemEx-2020-27,NaN,null,0.0,0.0
SchemEx-2020-27,SchemEx-2020-28,NaN,null,0.0,0.0
SchemEx-2020-28,SchemEx-2020-29,NaN,null,0.0,0.0
SchemEx-2020-29,SchemEx-2020-30,NaN,null,0.0,0.0
SchemEx-2020-30,SchemEx-2020-31,NaN,null,0.0,0.0
SchemEx-2020-31,SchemEx-2020-32,NaN,null,0.0,0.0
SchemEx-2020-32,SchemEx-2020-33,NaN,null,0.0,0.0
SchemEx-2020-33,SchemEx-2020-34,NaN,null,0.0,0.0
SchemEx-2020-34,SchemEx-2020-35,NaN,null,0.0,0.0
SchemEx-2020-35,SchemEx-2020-36,NaN,null,0.0,0.0
SchemEx-2020-36,SchemEx-2020-37,NaN,null,0.0,0.0
SchemEx-2020-37,SchemEx-2020-38,NaN,null,0.0,0.0
