Name, Name 2nd, JaccardVertex, JaccardEdge, GED, KLD
SchemEx-2015-0,SchemEx-2015-1,0.15764982,null,944149.0,0.13887623
SchemEx-2015-1,SchemEx-2015-2,0.23868442,null,1333389.0,0.122707345
SchemEx-2015-2,SchemEx-2015-3,0.20363206,null,1069569.0,0.24841294
SchemEx-2015-3,SchemEx-2015-4,0.18239474,null,990320.0,0.19003966
SchemEx-2015-4,SchemEx-2015-5,0.17204487,null,912848.0,0.19627845
SchemEx-2015-5,SchemEx-2015-6,0.9979963,null,6568008.0,0.27688712
SchemEx-2015-6,SchemEx-2015-7,0.7222015,null,0.0,0.2858783
SchemEx-2015-7,SchemEx-2015-8,0.68822074,null,0.0,0.40296358
SchemEx-2015-8,SchemEx-2015-9,0.68013704,null,0.0,0.118892066
SchemEx-2015-9,SchemEx-2015-10,0.42889446,null,0.0,0.10590182
SchemEx-2015-10,SchemEx-2015-11,0.70988446,null,0.0,0.18587382
SchemEx-2015-11,SchemEx-2015-12,0.6767186,null,0.0,0.14064574
SchemEx-2015-12,SchemEx-2015-13,0.69369924,null,0.0,0.19447622
SchemEx-2015-13,SchemEx-2015-14,0.6765158,null,0.0,1.6625977
SchemEx-2015-14,SchemEx-2015-15,0.692384,null,0.0,1.4697692
SchemEx-2015-15,SchemEx-2015-16,0.7026471,null,0.0,0.61793196
SchemEx-2015-16,SchemEx-2015-17,0.6851898,null,0.0,0.4005832
SchemEx-2015-17,SchemEx-2015-18,0.21652466,null,0.0,0.039603572
SchemEx-2015-18,SchemEx-2015-19,0.6900122,null,0.0,0.07511775
SchemEx-2015-19,SchemEx-2015-20,0.6886132,null,0.0,0.74042463
SchemEx-2015-20,SchemEx-2015-21,0.68542004,null,0.0,0.68262625
SchemEx-2015-21,SchemEx-2015-22,0.6727567,null,0.0,0.203507
SchemEx-2015-22,SchemEx-2015-23,0.7026446,null,0.0,0.64917463
SchemEx-2015-23,SchemEx-2015-24,0.68208116,null,0.0,0.522299
SchemEx-2015-24,SchemEx-2015-25,0.6756692,null,0.0,0.45829672
SchemEx-2015-25,SchemEx-2015-26,0.7118491,null,0.0,0.25773346
SchemEx-2015-26,SchemEx-2015-27,0.76338375,null,0.0,0.6436945
SchemEx-2015-27,SchemEx-2015-28,0.7496202,null,0.0,0.4190242
SchemEx-2015-28,SchemEx-2015-29,0.6897621,null,0.0,0.20679489
SchemEx-2015-29,SchemEx-2015-30,0.68901443,null,0.0,0.17384134
SchemEx-2015-30,SchemEx-2015-31,0.6805283,null,0.0,0.21379173
SchemEx-2015-31,SchemEx-2015-32,0.68043137,null,0.0,0.21294066
SchemEx-2015-32,SchemEx-2015-33,0.6657666,null,0.0,0.26249138
SchemEx-2015-33,SchemEx-2015-34,0.6924814,null,0.0,1.0618634
SchemEx-2015-34,SchemEx-2015-35,0.73686177,null,0.0,0.97729516
SchemEx-2015-35,SchemEx-2015-36,0.65474373,null,0.0,0.06968887
SchemEx-2015-36,SchemEx-2015-37,0.66846025,null,0.0,0.10625509
SchemEx-2015-37,SchemEx-2015-38,0.6854938,null,0.0,0.1696978
SchemEx-2015-38,SchemEx-2015-39,0.6872158,null,0.0,0.17237544
SchemEx-2015-39,SchemEx-2015-40,0.67705226,null,0.0,0.8682184
SchemEx-2015-40,SchemEx-2015-41,0.68427634,null,0.0,0.13247766
SchemEx-2015-41,SchemEx-2015-42,0.6861601,null,0.0,0.5503185
SchemEx-2015-42,SchemEx-2015-43,0.66797733,null,0.0,0.61940646
SchemEx-2015-43,SchemEx-2015-44,0.661844,null,0.0,0.12459794
SchemEx-2015-44,SchemEx-2015-45,0.6654384,null,0.0,0.116523154
SchemEx-2015-45,SchemEx-2015-46,0.66751325,null,0.0,0.07805203
SchemEx-2015-46,SchemEx-2015-47,0.6670365,null,0.0,0.1693887
SchemEx-2015-47,SchemEx-2015-48,0.6654675,null,0.0,0.32393885
SchemEx-2015-48,SchemEx-2015-49,0.6857419,null,0.0,0.182728
SchemEx-2015-49,SchemEx-2015-50,0.674894,null,0.0,0.090189144
SchemEx-2015-0,SchemEx-2015-1,0.15764982,null,944149.0,0.13887623
SchemEx-2015-1,SchemEx-2015-2,0.23868442,null,1333389.0,0.122707345
SchemEx-2015-2,SchemEx-2015-3,0.20363206,null,1069569.0,0.24841294
SchemEx-2015-3,SchemEx-2015-4,0.18239474,null,990320.0,0.19003966
SchemEx-2015-4,SchemEx-2015-5,0.17204487,null,912848.0,0.19627845
SchemEx-2015-5,SchemEx-2015-6,0.9979963,null,1084451.0,0.27688712
SchemEx-2015-6,SchemEx-2015-7,0.99730086,null,4193612.0,1.3963709
SchemEx-2015-7,SchemEx-2015-8,0.14742315,null,656673.0,0.12168896
SchemEx-2015-8,SchemEx-2015-9,0.23525429,null,744706.0,0.15859224
SchemEx-2015-9,SchemEx-2015-10,0.56418574,null,1495982.0,0.11826695
SchemEx-2015-10,SchemEx-2015-11,0.56817764,null,1566278.0,0.17859939
SchemEx-2015-11,SchemEx-2015-12,0.17617989,null,665782.0,0.16687822
SchemEx-2015-12,SchemEx-2015-13,0.24220264,null,743981.0,0.22396912
SchemEx-2015-13,SchemEx-2015-14,0.33060938,null,757089.0,0.338733
SchemEx-2015-14,SchemEx-2015-15,0.35875583,null,922164.0,0.36200237
SchemEx-2015-15,SchemEx-2015-16,0.26988524,null,901909.0,0.37405324
SchemEx-2015-16,SchemEx-2015-17,0.1480639,null,588282.0,0.091033
SchemEx-2015-17,SchemEx-2015-18,0.18972325,null,760668.0,0.20322329
SchemEx-2015-18,SchemEx-2015-19,0.19284427,null,760024.0,0.08158329
SchemEx-2015-19,SchemEx-2015-20,0.22400951,null,819720.0,0.8463207
SchemEx-2015-20,SchemEx-2015-21,0.16671127,null,703569.0,0.8642397
SchemEx-2015-21,SchemEx-2015-22,0.13860136,null,511933.0,0.31448197
SchemEx-2015-22,SchemEx-2015-23,0.33098024,null,896842.0,0.90448314
SchemEx-2015-23,SchemEx-2015-24,0.27573222,null,696567.0,0.61590654
SchemEx-2015-24,SchemEx-2015-25,0.2128591,null,604463.0,0.43452793
SchemEx-2015-25,SchemEx-2015-26,0.9962203,null,2416203.0,0.5417107
SchemEx-2015-26,SchemEx-2015-27,0.99444336,null,1787413.0,2.433278
SchemEx-2015-27,SchemEx-2015-28,0.7307466,null,2107830.0,0.36605644
SchemEx-2015-28,SchemEx-2015-29,0.49852973,null,1445340.0,0.15636127
SchemEx-2015-29,SchemEx-2015-30,0.51794136,null,1132394.0,0.18125972
SchemEx-2015-30,SchemEx-2015-31,0.2576869,null,771374.0,0.16070282
SchemEx-2015-31,SchemEx-2015-32,0.402498,null,1136286.0,0.22647116
SchemEx-2015-32,SchemEx-2015-33,0.29075766,null,637116.0,0.13296987
SchemEx-2015-33,SchemEx-2015-34,0.53394705,null,1364580.0,0.89646196
SchemEx-2015-34,SchemEx-2015-35,0.6895352,null,1683995.0,0.95508677
SchemEx-2015-35,SchemEx-2015-36,0.087058485,null,237693.0,0.047277555
SchemEx-2015-36,SchemEx-2015-37,0.21837568,null,605351.0,0.14540361
SchemEx-2015-37,SchemEx-2015-38,0.28827828,null,803228.0,0.16137096
SchemEx-2015-38,SchemEx-2015-39,0.24454814,null,850521.0,0.22467092
SchemEx-2015-39,SchemEx-2015-40,0.34489363,null,914382.0,0.15464382
SchemEx-2015-40,SchemEx-2015-41,0.508633,null,1229900.0,0.25214294
SchemEx-2015-41,SchemEx-2015-42,0.45379454,null,1192566.0,0.23332593
SchemEx-2015-42,SchemEx-2015-43,0.17166549,null,485478.0,0.13255253
SchemEx-2015-43,SchemEx-2015-44,0.3260548,null,878780.0,0.17083302
SchemEx-2015-44,SchemEx-2015-45,0.3247913,null,768916.0,0.14532822
SchemEx-2015-45,SchemEx-2015-46,0.3859719,null,900764.0,0.055075027
SchemEx-2015-46,SchemEx-2015-47,0.9972234,null,1151026.0,0.41382623
SchemEx-2015-47,SchemEx-2015-48,0.9973614,null,1206649.0,2.2831128
SchemEx-2015-48,SchemEx-2015-49,0.2682786,null,864844.0,0.24877986
SchemEx-2015-49,SchemEx-2015-50,0.18432456,null,556279.0,0.1290726
SchemEx-2015-50,SchemEx-2015-51,0.33509052,null,1022092.0,0.70849174
