Name, Number of EQC, Average Size of EQC, Average Number of Edges, TMH, Comp, Avg Degree
SchemEx-2018-0,234213.0,30.45733,5.6233983,183392.88,0,0
SchemEx-2018-1,253628.0,27.181963,5.8823433,214296.22,0,0
SchemEx-2018-2,252253.0,27.508862,5.5421104,193502.69,0,0
SchemEx-2018-3,217128.0,33.27935,6.078622,184967.17,0,0
SchemEx-2018-4,244749.0,26.431704,5.3282504,172373.67,0,0
SchemEx-2018-5,252784.0,26.055683,5.478646,188779.27,0,0
SchemEx-2018-6,260294.0,23.872997,5.831387,215870.5,0,0
SchemEx-2018-7,218362.0,32.441113,6.1925197,200511.34,0,0
SchemEx-2018-8,255786.0,26.826504,5.5606875,189616.61,0,0
SchemEx-2018-9,244987.0,28.10183,5.699319,186532.33,0,0
SchemEx-2018-10,257953.0,25.273396,5.5085034,183719.77,0,0
SchemEx-2018-11,223457.0,28.816511,5.8422155,160167.11,0,0
SchemEx-2018-12,220690.0,30.879623,5.8362045,157089.23,0,0
SchemEx-2018-13,254470.0,29.966562,5.601234,188812.55,0,0
SchemEx-2018-14,231968.0,29.489162,5.9001155,188756.84,0,0
SchemEx-2018-15,250363.0,37.76244,5.7574162,196911.98,0,0
SchemEx-2018-16,243704.0,39.16514,5.7761955,193977.02,0,0
SchemEx-2018-17,253811.0,27.88242,5.4666424,178738.88,0,0
SchemEx-2018-18,245537.0,28.563736,5.675967,188453.36,0,0
SchemEx-2018-19,260823.0,39.95387,5.7591357,206850.42,0,0
SchemEx-2018-20,267202.0,35.560028,5.5491166,198597.53,0,0
SchemEx-2018-21,261806.0,29.895905,5.5124216,190806.89,0,0
SchemEx-2018-22,249588.0,30.157427,5.6835423,190465.2,0,0
SchemEx-2018-23,246622.0,29.974386,5.7028203,190838.42,0,0
SchemEx-2018-24,233094.0,45.48231,6.328876,219668.0,0,0
SchemEx-2018-25,263316.0,27.95862,5.53165,192100.86,0,0
SchemEx-2018-26,253425.0,40.902885,6.0831842,223860.16,0,0
SchemEx-2018-27,252977.0,38.354782,5.5989084,194395.5,0,0
SchemEx-2018-28,247431.0,41.381462,6.0204015,218410.75,0,0
SchemEx-2018-29,244727.0,27.565523,5.9599066,196929.94,0,0
SchemEx-2018-30,249803.0,40.85941,5.9031916,207527.27,0,0
SchemEx-2018-31,250878.0,39.347168,5.8247037,199346.0,0,0
SchemEx-2018-32,247988.0,30.01579,5.6676373,188725.08,0,0
SchemEx-2018-33,263272.0,29.544958,5.499996,190718.48,0,0
SchemEx-2018-34,206928.0,33.851276,6.132036,190042.56,0,0
SchemEx-2018-35,210788.0,33.70532,6.1890903,193731.23,0,0
SchemEx-2018-36,191465.0,36.324413,6.9050007,191960.4,0,0
SchemEx-2018-37,218218.0,36.147522,5.057575,171377.25,0,0
SchemEx-2018-38,218891.0,33.68925,6.192863,201957.97,0,0
SchemEx-2018-39,222195.0,32.435753,5.7042146,176672.95,0,0
SchemEx-2018-40,258382.0,27.388796,5.3075986,180413.55,0,0
SchemEx-2018-41,0.0,0,0,92292.99,0,0
SchemEx-2018-42,0.0,0,0,0.0,0,0
SchemEx-2018-43,263985.0,32.337715,5.3201733,191016.05,0,0
SchemEx-2018-44,240776.0,55.940296,5.8174486,195921.52,0,0
SchemEx-2018-45,0.0,0,0,0.0,0,0
SchemEx-2018-46,231847.0,26.88278,5.4054008,173260.44,0,0
SchemEx-2018-47,249652.0,34.74667,5.509978,194451.7,0,0
SchemEx-2018-48,248530.0,36.66216,5.4138694,180773.05,0,0
SchemEx-2018-49,204445.0,34.06882,6.642774,194700.81,0,0
SchemEx-2018-50,194597.0,53.358376,6.9182415,200179.12,0,0
SchemEx-2018-51,192356.0,39.298607,6.8583198,198869.73,0,0
