Name, Name 2nd, JaccardVertex, JaccardEdge, GED, KLD
SchemEx-2019-0,SchemEx-2019-1,0.60363734,null,1556533.0,0.45898473
SchemEx-2019-1,SchemEx-2019-2,0.16871011,null,705147.0,0.055352673
SchemEx-2019-2,SchemEx-2019-3,0.20983702,null,754578.0,0.1643287
SchemEx-2019-3,SchemEx-2019-4,0.35481888,null,934540.0,0.20926836
SchemEx-2019-4,SchemEx-2019-5,0.43344325,null,1184538.0,0.09839387
SchemEx-2019-5,SchemEx-2019-6,0.23636037,null,931542.0,0.48565108
SchemEx-2019-6,SchemEx-2019-7,0.1971373,null,854631.0,0.18773395
SchemEx-2019-7,SchemEx-2019-8,0.47389722,null,1249025.0,0.35857183
SchemEx-2019-8,SchemEx-2019-9,0.25048393,null,964984.0,0.377962
SchemEx-2019-9,SchemEx-2019-10,0.3609138,null,1274076.0,0.8564092
SchemEx-2019-10,SchemEx-2019-11,0.27081072,null,924074.0,0.2206822
SchemEx-2019-11,SchemEx-2019-12,0.33963746,null,1048368.0,0.37848252
SchemEx-2019-12,SchemEx-2019-13,0.5414538,null,1381842.0,0.58998597
SchemEx-2019-13,SchemEx-2019-14,0.4294306,null,1161930.0,0.44092995
SchemEx-2019-14,SchemEx-2019-15,0.5031775,null,1568472.0,0.8877994
SchemEx-2019-15,SchemEx-2019-16,0.37997,null,1105109.0,1.2246538
SchemEx-2019-16,SchemEx-2019-17,0.34422415,null,1107309.0,1.2919028
SchemEx-2019-17,SchemEx-2019-18,0.31843168,null,1167227.0,0.65895957
SchemEx-2019-18,SchemEx-2019-19,0.27491677,null,942290.0,0.09427978
SchemEx-2019-19,SchemEx-2019-20,0.35796243,null,1048424.0,0.088723645
SchemEx-2019-20,SchemEx-2019-21,0.4920293,null,1612377.0,0.14712828
SchemEx-2019-21,SchemEx-2019-22,0.35552138,null,1268885.0,0.22328345
SchemEx-2019-22,SchemEx-2019-23,0.3146029,null,1134427.0,0.10830453
SchemEx-2019-23,SchemEx-2019-24,0.2861815,null,1151351.0,0.02822503
SchemEx-2019-24,SchemEx-2019-25,0.43912667,null,1509447.0,0.09994385
SchemEx-2019-25,SchemEx-2019-26,0.28085184,null,1043484.0,0.06432326
SchemEx-2019-26,SchemEx-2019-27,0.43112278,null,1276130.0,0.19633171
SchemEx-2019-27,SchemEx-2019-28,0.4988308,null,1243153.0,0.50903136
SchemEx-2019-28,SchemEx-2019-29,0.41308445,null,947825.0,0.15351693
SchemEx-2019-29,SchemEx-2019-30,0.3988744,null,827908.0,0.101232454
SchemEx-2019-30,SchemEx-2019-31,0.3101037,null,973490.0,0.07347954
SchemEx-2019-31,SchemEx-2019-32,0.27027416,null,774147.0,0.08766498
SchemEx-2019-32,SchemEx-2019-33,0.22569788,null,604674.0,0.047818825
SchemEx-2019-33,SchemEx-2019-34,0.19390476,null,559075.0,0.02586761
SchemEx-2019-34,SchemEx-2019-35,0.20472616,null,618696.0,0.059051525
SchemEx-2019-35,SchemEx-2019-36,0.21114427,null,553557.0,0.06734064
SchemEx-2019-36,SchemEx-2019-37,0.25015366,null,707729.0,0.07477227
SchemEx-2019-37,SchemEx-2019-38,0.22353768,null,710207.0,0.2530229
SchemEx-2019-38,SchemEx-2019-39,0.23113406,null,663706.0,0.0896778
SchemEx-2019-39,SchemEx-2019-40,0.22680527,null,627032.0,0.08978285
SchemEx-2019-40,SchemEx-2019-41,0.9983397,null,722730.0,0.58334947
SchemEx-2019-41,SchemEx-2019-42,0.99810386,null,621820.0,2.0500305
SchemEx-2019-42,SchemEx-2019-43,0.22252882,null,765856.0,0.07939188
SchemEx-2019-43,SchemEx-2019-44,0.3018496,null,838244.0,0.10217826
SchemEx-2019-44,SchemEx-2019-45,0.2567985,null,814406.0,0.051652733
SchemEx-2019-45,SchemEx-2019-46,0.40134704,null,1023268.0,0.12785637
SchemEx-2019-46,SchemEx-2019-47,0.35176653,null,1110684.0,0.08099642
SchemEx-2019-47,SchemEx-2019-48,0.7338333,null,2371011.0,0.55826414
SchemEx-2019-48,SchemEx-2019-49,0.66744363,null,1875173.0,0.4832224
SchemEx-2019-49,SchemEx-2019-50,0.11240345,null,676965.0,0.1607471
